,RH(%),T(degC),LightVOC(ADU),HeavyVOC(ADC),Ozone(ADU),CO(ADU),CO2(ADU),Elevation(ft),Distance From Road (miles),Row sum
RH(%),1.0000000000000007,-0.46204573984339564,2.6060045811330825,11.01363734846765,-8.914394527440841,-5.8619548411679725,4.340024401164325,-30.981586086393467,-0.01688473741446153,-27.277199601495077
T(degC),-1.9243883757397575,1.0000000000000016,-3.4623675876420648,-19.171394486715815,21.94250741162525,10.843110318797827,-8.342294197888428,36.47147660355261,0.017514704432752024,37.37416439042237
LightVOC(ADU),0.08941302764038278,-0.02852272699072633,0.999999999999999,6.258034857625504,1.0461854012042207,1.4866200730275008,0.4496727525116931,-5.8511432705379525,-0.003799361398142242,4.446460753082481
HeavyVOC(ADC),0.0028042324646488904,-0.0011720042587798206,0.046440361582741944,0.9999999999999961,0.14878130182104202,0.32105260050984513,0.011624062846139226,0.024903196871744894,2.9650255634211108e-05,1.5544634020930126
Ozone(ADU),-0.02749502645213322,0.01624952947973077,0.09404708093700113,1.8023013361785243,0.9999999999999944,0.3453654433902731,-0.13583671444486178,0.484563387110127,0.00031721643969791083,3.5795122526383536
CO(ADU),-0.0028029863360284203,0.0012448718143543774,0.02071824091063494,0.6029363445234203,0.05354206315799761,1.0000000000000007,-0.004154218431671108,0.40066785727874177,0.0002727196079416072,2.0724248925253916
CO2(ADU),0.19122270422164536,-0.08825209651343949,0.5774551127841678,2.0115090597238634,-1.9404486828836107,-0.3827878111371582,1.000000000000014,-7.58509879793066,-0.004813020750581542,-6.221213532485758
Elevation(ft),-0.00825393403461103,0.0023329366098400087,-0.04543310855475906,0.026057287660860663,0.04185483668262425,0.22323554012499552,-0.045863934006258905,0.9999999999999826,0.0006973022028306863,1.1946269266855047
Distance From Road (miles),-8.169855741469933,2.034769107040225,-53.580289636550205,56.34628380889513,49.76379273523543,275.96749326278126,-52.85554154071623,1266.4375182431863,1.0000000000000022,1536.944170238402
Col sum,-8.849356099705785,2.4746038773378105,-52.743424955399405,59.88936555635913,63.141820539402104,283.9421345863266,-55.582369388965276,1260.4013011331374,0.9933344733756734,3108.3348194437367
